V,K,H,t1,t2,p1,p2,x1,y1,x2,y2
-7.7468227830438,21.986350665918806,14.239527882875006,1.1454474005302888,47.58668369194714,-13.940007118120448,1.4462293668131132,1.3654313171132835,-0.6185453243265884,1.1422063963971376,-0.17114099402650024
-8.607451004229087,22.846978957342053,14.239527953112965,1.111267452517931,47.56436463160665,-14.169987096263219,1.4318474346396552,1.3434960686170758,-0.664845330592358,1.130311559497685,-0.21257067391621354
-9.4739855142515,23.713513564893404,14.239528050641903,1.076064378041064,47.53823572115703,-14.388639017249787,1.4095900018125695,1.319263920559826,-0.711718840490483,1.1179682793414962,-0.2540289183526873
-10.344737839639379,24.584266021372002,14.239528181732624,1.0398450847262395,47.50814268440817,-14.594912041439589,1.3786802269079306,1.2926263676727716,-0.7590244222665677,1.105193066237326,-0.29548504150910787
-11.217978211351294,25.457506564313654,14.23952835296236,1.0026232066639358,47.47393671504332,-14.787654469235463,1.3382483719111506,1.2634852335214877,-0.8066015526101796,1.0920142964334967,-0.3369232395764967
-12.091968898911007,26.331497469474456,14.239528570563449,0.9644199771063795,47.43547517860373,-14.965603876890954,1.2873196026285816,1.2317560364833897,-0.8542704879525751,1.0784720074615624,-0.37834611744100355
-12.965002887680878,27.20453172687852,14.239528839197643,0.9252652530779657,47.392622601875495,-15.127380159927867,1.2248044075117197,1.1973717799961814,-0.9018324791605017,1.0646168147576416,-0.41977841662755916
-13.835447071381363,28.074976231264557,14.239529159883194,0.8851987205665961,47.345252080849,-15.271483458375812,1.1494936620185179,1.160287188425868,-0.9490704085444844,1.0505077570127581,-0.4612707811987737
-14.701788627021745,28.94131815385192,14.239529526830175,0.8442712963856472,47.29324721366274,-15.396299417,1.060060861679216,1.1204833881151954,-0.9957499570463925,1.0362088945731256,-0.5029033178793716
-15.5626826486947,29.802212571802556,14.239529923107856,0.8025467218929043,47.23650461291837,-15.500114685606865,0.9550745161251731,1.0779729932707351,-1.0416214407254358,1.02178452926686,-0.5447886152067456
-16.416998477109914,30.65652879258079,14.239530315470876,0.7601033140588247,47.17493696957999,-15.581145885726885,0.8330240336265247,1.0328054944487666,-1.086422482571324,1.0072929950859364,-0.5870737944021633
-17.263861548924353,31.50339219827543,14.239530649351078,0.7170358018594125,47.10847652936186,-15.637585305585544,0.6923624744865775,0.985072762613656,-1.129881698390013,0.9927790947167443,-0.6299410894717967
-18.102687121029994,32.34221796696771,14.239530845937715,0.6734571338125046,47.03707870929051,-15.667666140321858,0.531569114589274,0.9349143785795581,-1.1717235615644157,0.9782654278278484,-0.6736064201919547
-18.933202046993276,33.17273285117175,14.239530804178475,0.6295001016959779,46.960725442298155,-15.66974897166903,0.3492336375065562,0.8825223883946531,-1.2116745577844727,0.9637430623024534,-0.7183154571995511
-19.755451041092677,33.99498145204389,14.239530410951211,0.5853185949362413,46.87942771470263,-15.642429250718404,0.14416183222836457,0.828144991153812,-1.2494706373608198,0.949162212315553,-0.7643368082143767
-20.569784653117107,34.809314215106184,14.239529561989077,0.5410882904523951,46.79322668365322,-15.584662838271596,-0.08450005847814332,0.7720886156356656,-1.2848658177435501,0.9344237640784189,-0.8119521897097735
-21.37682747841726,35.61635567235374,14.239528193936483,0.49700660388751206,46.70219275534602,-15.495903443674157,-0.33712844257514396,0.714717867116518,-1.3176415940704118,0.9193725777983105,-0.8614437757988294
-22.177426776802413,36.41695310118945,14.239526324387036,0.45329178622128086,46.60642208434413,-15.376242634254682,-0.6134822525796937,0.6564529500176283,-1.3476166088369324,0.9037934427682435,-0.9130792909390528
